Start,End,Date text,Date (for research purposes only),Region,Country,Lat,Long,Basis,Headline,Description,Sources,
1978,2007,1978 onwards,,Northern Africa,"Egypt, Ethiopia",12,37.25,Trigger,Egypt threatens Ethiopia over Nile plans,"Long standing tensions over the Nile, especially the Blue Nile, originate in Ethiopia. Ethiopia's proposed construction of dams on the headwaters of the Blue Nile leads Egypt to repeatedly declare the vital importance of water. ""The only matter that could take Egypt to war again is water' (Anwar Sadat, 1979). ""The next war in our region will be over the waters of the Nile, not politics"" (Boutros Boutrous-Ghali, 1988).",Gleick 1991; Gleick 1994,
1940,1945,1940-1945,,Western Europe,Germany,51.1833,9.05889,Casualty,Dams bombed in WWII,Hydroelectric dams routinely bombed as strategic targets during World War II.,Gleick 1993,
1950,1959,1950s,,Eastern Asia,North Korea,40.4611,124.962,Casualty,US attacks North Korean dams,Centralized dams on the Yalu (Amnok) River serving North Korea and China are attacked during Korean War.,Gleick 1993,
1981,1981,1981,,Western Asia,Iraq,36,44,Casualty,Iran targets Iraq hydroelectric dam,"Iran claims to have bombed a hydroelectric facility in Kurdistan, thereby blacking out large portions of Iraq, during the Iran-Iraq War.",Gleick 1993,
1986,1986,1986,,Eastern Asia,"North Korea, South Korea",38.4228,127.793,Weapon,South Koreans uneasy over North's dam,North Korea's announcement of its plans to build the Kumgansan hydroelectric dam on a tributary of the Han River upstream of Seoul raises concerns in South Korea that the dam could be used as a tool for ecological destruction or war.,Gleick 1993,
1990,1990,1990,,Sub-Saharan Africa,South Africa,-26.5167,29.9667,Weapon,South Africa cuts off black community's water,"Pro-apartheid council cuts off water to the Wesselton township of 50,000 blacks following protests over miserable sanitation and living conditions.",Gleick 1993,
1991,1991,1991,,Western Asia,Kuwait,29.2412,47.5224,Casualty,Iraq destroys Kuwait desalination plants,"During the Gulf War, Iraq destroys much of Kuwait's desalination capacity during retreat.",Gleick 1993,
1991,1991,1991,,Southern Asia,Iraq,37.4855,38.3181,Weapon,UN considers cutting river flow to Iraq,Discussions are held at the United Nations about using the Atatürk Dam in Turkey to cut off flows of the Euphrates to Iraq.,Gleick 1993,
1992,1992,1992,,Eastern Europe,"Czechoslovakia, Hungary",48.0297,17.1989,Trigger,Hungary and Czechoslovakia dispute over Danube,"Hungary abrogates a 1977 treaty with Czechoslovakia concerning construction of the Gabčíkovo–Nagymaros project based on environmental concerns. Slovakia continues construction unilaterally, completes the dam, and diverts the Danube into a canal inside the Slovakian republic. Massive public protest and movement of military to the border ensue; issue taken to the International Court of Justice.",Gleick 1993,
1991,1991,1991,,Western Asia,Iraq,33.3271,44.3903,Casualty,US destroys Iraq water systems,"During the Persian Gulf War, Allied Coalition forces damage Baghdad's modern water supply and sanitation system""intentionally and unintentionally. ""Four of seven major pumping stations were destroyed, as were 31 municipal water and sewerage facilities in Baghdad""resulting in sewage pouring into the Tigris. Water purification plants were incapacitated throughout Iraq"" (Arbuthnot 2000). Following the damage, the New England Journal of Medicine reports that, during the first eight months of 1991, childhood death in Iraq increases by 47,000 and the country's infant mortality rate doubles to 92.7 per 1,000 live births.",Gleick 1993; Arbuthnot 2000; Barrett 2003,
1991,2007,1991-2007,,Southern Asia,India,12.2018,77.5745,Trigger,Violence over use of India's Cauvery River,"Violence erupts when Karnataka, India rejects an Interim Order handed down by the Kaveri Waters Tribunal, set up by the Indian Supreme Court. The Tribunal was established in 1990 to settle two decades of dispute between Karnataka and Tamil Nadu over irrigation rights to the Kaveri River.",Gleick 1993; Butts 1997; Inventory of Conflict and the Environment (ICE) 2000a,
1975,1975,1975,,Western Asia,"Iraq, Syria",38.567,35.86,Trigger,"Iraq, Syria mobilize troops over drought tensions","As upstream dams are filled during a low-flow year on the Euphrates, Iraqis claim that flow reaching its territory is ""intolerable"" and asks the Arab League to intervene. Syrians claim they are receiving less than half the river's normal flow and pull out of an Arab League technical committee formed to mediate the conflict. In May Syria closes its airspace to Iraqi flights and both Syrian and Iraq reportedly transfer troops to their mutual border. Saudi Arabia successfully mediates the conflict.",Gleick 1993; Gleick 1994; Wolf 1997,
1990,1990,1990,,Western Asia,"Iraq, Syria",37.4855,38.3181,Weapon,Turkey's Ataturk Dam a weapon of war?,"The flow of the Euphrates is interrupted for a month as Turkey finishes construction of the Atatürk Dam, part of the Grand Anatolia Project. Syria and Iraq protest that Turkey now has a weapon of war. In mid-1990 Turkish president Turgut Özal  threatens to restrict water flow to Syria to force it to withdraw support for Kurdish rebels operating in southern Turkey.",Gleick 1993; Gleick 1995,
1993,2003,1993-2003,,Western Asia,Iraq,30.8858,47.0354,"Weapon, Casualty",Iraq uses water to silence opposition,"To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Maʻdān. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",Gleick 1993; National Geographic News 2001,
1993,1993,1993,,Southern Europe,Yugoslavia,43.796,16.5957,Casualty,Yugoslavian army destroys dam,"The 65-meter high Peruča Dam on the Cetina River was Yugoslavia's second-largest hydroelectric facility before the country's breakup with the Croation War beginning in 1991. On January 28, 1993, Serbian/Yugoslav army forces detonate explosives at the dam in an attempt to wipe out Croatian villages and the port city of Omi'. A successful Croation counter-attack allows military engineers to reach the dam and release water on time to prevent it from bursting, saving an estimated twenty- to thirty-thousand civilians. Credit for preventing a dam burst is also given to British Marine Captain Mark Gray, a UN Observer, for opening gates to reduce water levels prior to the attack.",Gleick 1993; Rathfelder 2007,
1967,1967,1967,,Western Asia,"Israel, Jordan",33.2492,35.6933,Casualty,Israel attacks Jordan water works,"Israel destroys the Arab diversion works on the Jordan River headwaters. During Arab-Israeli War Israel occupies Golan Heights, with Banias tributary to the Jordan; Israel occupies West Bank.",Gleick 1993; Wolf 1995; Wolf 1997; Wallenstein and Swain 1997,
1974,1974,1974,,Western Asia,"Iraq, Syria",35.8844,38.7508,"Trigger, Casualty",Iraq threatens Syria dam,"Iraq threatens to bomb the Euphrates dam (also known as al-Thawra or Tabqa dam) in Syria and massed troops along the border, alleging that the dam had reduced the flow of Euphrates River water to Iraq.",Gleick 1994,
2018,2018,2018,,Sub-Saharan Africa,Somalia,-0.403888,41.5794,Weapon,"Al Shabaab diverts a river, forcing opposition to undefendable higher ground","Al Shabaab, a group fighting to create an Islamic state in Somalia, diverts water from the Jubba River, causing a flood that forced Somali, Kenyan, and U.S. military forces to move to higher ground where they were later ambushed. One soldier from the U.S. was killed in the ambush.",Goldbaum 2018,
2010,2010,2010,,Southern Asia,India,28.6168,77.326,Trigger,Violent water protest in India,A protest about water shortages in the National Capital Territory of Delhi in India leads to violence. Erratic water supply and cutoffs in the Kondli area of Mayur Vihar in East Delhi causes a violent protest and several injuries.,Gosh 2010,
2007,2017,2007-2017,2007-2017,Latin America and the Caribbean,Guatemala,15.783471,-90.230759,Trigger,A review of violence in Guatemala identifies more than 60 environmental activists killed and other instances of violence between 2007 and 2017 while protecting water and other resources,"Research by a professor at the University of Regina, Canada, finds that between 2007 and 2017 at least 61 Guatemalan activists were murdered for their work protecting rivers, lands, and the people who depend on them for their livelihoods. ",Granovsky-Larsen 2018,
1863,1863,1863,,North America,United States,32.3578,-90.8779,"Weapon, Casualty","Levees cut in Vicksburg, Virginia","General Ulysses S. Grant, during the Civil War campaign against Vicksburg, cut levees in the battle against the Confederates.",Grant 1885; Barry 1997,
1964,1964,1964,,Latin America and the Caribbean,"Cuba, United States",19.9,-75.15,Weapon,Cuba cuts off water to US at Guantanamo,"On February 6, 1964, the Cuban government cuts off the normal water supply to the US Naval Base at Guantanamo Bay, in retaliation for the US seizure of four Cuban fishing boats days earlier near Florida.",Guantanamo Bay Gazette 1964,
2015,2015,2015,,Eastern Europe,Kosovo,42.628,21.2532,Casualty,Kosovo authorities shut off water to Pristina as preventative measure against a planned attack,"A planned attack on the water supply in Pristina, Kosovo is prevented before its execution. The attack is intended to contaminate Badovac Lake, the largest water reservoir uphill of the city. As a preventative measure, Kosovo authorities temporarily shut off the water supply to tens of thousands of people in the capital after police arrest five suspects linked to Islamic State.","Guardian, The 2015",
1993,1993,1993,,Southern Asia,Iran,35.7097,51.4356,Weapon,Iran threatens West's water,"A report suggests that proposals were made at a meeting of fundamentalist groups in Tehran, under the auspices of the Iranian Foreign Ministry, to poison water supplies of major cities in the West ""as a possible response to Western offensives against Islamic organizations and states.""",Haeri 1993,
2008,2008,2008,,Western Asia,Yemen,13.6343,46.0563,Trigger,Water delivery pipelines destroyed in protest over water transfers,Pipelines are destroyed in Yemen by locals protesting the extraction of water in Abyan for piping to Aden.,Hall 2010,
2015,2015,2015,,Northern Asia,Egypt,30.0131,31.2089,Trigger,Cuts in water access trigger protests,Residents of Giza block a road to protest ongoing water cuts. Police break up the protest with tear gas.,Hamama and Charbel 2015,
2012,2012,2012,,Southern Asia,"India, Pakistan",31.8472,75.4364,Trigger,Militants block work at the Wullar Dam construction site in India,"Militants block work at the Wular Conservation Project (Wular Dam) construction site in the Baramulla District of India - a project opposed by Pakistan. Officials suggest that these militants may have been sent by Pakistan because of their concerns that the project is in violation of Pakistani interests under the Indus Water Treaty of 1960. Sources said that eight of the 16 militants who stopped work of the Project are Pakistani nationals. India says the dam is not in violation of the Treaty and would, if completed, be used only for transportation purposes. Pakistan believes the Indian control over Jhelum waters has the potential to disrupt the Pakistan-Upper Jhelum Canal, Upper Chenab Canal, and the Lower Bari Doab Canal.",Hamid 2012a,
2013,2014,2013-2014,,Southern Asia,Pakistan,24.8607,67.0011,Trigger,Fight over control of water in Pakistan,"In Karachi, rival sects of the Taliban fight for the control of water by controlling infrastructure and land. ",Hamid 2012a,
2012,2012,2012,,Southern Asia,Afghanistan,37.4,69.6,Weapon,Afghani terrorists poison water at girls' school,Up to 150 schoolgirls are reported sickened by poison in a school water supply in an intentional attack thought to be carried out by religious conservatives opposed to the education of women.,Hamid 2012b,
-424,-424,424 BC,,Southern Europe,Greece,39.0742,21.8244,Weapon,"Water as a weapon in the battle of Delium, 424 BC","In the battle of Delium, the Athenians are at war with the Theban Confederacy. It is a custom at that time not to damage sacred areas, such as the waters at the Delium temple. In this conflict, however, the Athenians foul the temple waters and destroy local vineyards and agricultural fields for a short-term military advantage.",Hanson 1995; Finch 1996,
2013,2013,2013,,Southeast Asia,Indonesia,3.59243,98.6693,Trigger,Five killed at protest against lack of water at Indonesian prison,"Protests against the lack of water and other basic resources at a prison in Medan, Indonesia leave five dead. Hundreds of convicts escape after the inmates set fire to the prison.",Hariyadi 2013,
1939,1942,1939-1942,,Eastern Asia,"China, Japan",35.6833,139.767,Weapon,Japan's Unit 731 poisons wells,Japanese chemical and biological weapons activities reportedly include tests by 'Unit 731' against military and civilian targets by lacing water wells and reservoirs with typhoid and other pathogens.,Harris 1994,
2013,2013,2013,,Sub-Saharan Africa,Somalia,9.56422,44.0707,Trigger,Demonstrators killed during protests over water shortages in Somaliland,At least two demonstrators are killed and others wounded when protests against water shortages are broken up by police firing live bullets. The shortages were caused by a work stoppage by private water vendors protesting new taxes.,Hasan 2013; Jama 2014,
-3000,-3000,3000 BC,,Western Asia,Unknown,33,46.1031,Weapon,God Punishes Man with Six-Day Storm,"Ancient Sumerian legend recounts the deeds of the deity Ea, who punished humanity for its sins by inflicting the Earth with a six-day storm. The Sumerian myth parallels the Biblical account of Noah and the deluge, although some details differ.",Hatami and Gleick 1994,
-2500,-2500,2500 BC,,Western Asia,Mesopotamia,31.6264,45.874,Weapon,Lagash-Umma border dispute,"The dispute over the Gu'edena (edge of paradise) region begins. Urlama, King of Lagash from 2450 to 2400 BC, diverts water from this region to boundary canals, drying up boundary ditches to deprive Umma of water. His son Il cuts off the water supply to Girsu, a city in Umma.",Hatami and Gleick 1994,
-1720,-1684,1720-1684 BC,,Western Asia,Mesopotamia,36.4848,42.8838,Weapon,Tigris River dammed,"A grandson of Hammurabi, Abish or Abi-Eshuh, dams the Tigris to prevent the retreat of rebels led by Iluma-Ilum, who declares the independence of Babylon. This failed attempt marks the decline of the Sumerians who had reached their apex under Hammurabi.",Hatami and Gleick 1994,
-1200,-1200,1200 BC,,Northern Africa,Egypt,22.7458,37.4524,Weapon,Moses parts the Red Sea,"When Moses and the retreating Jews find themselves trapped between the Pharaoh's army and the Red Sea, Moses miraculously parts the waters of the Red Sea, allowing his followers to escape. The waters close behind them and cut off the Egyptians.",Hatami and Gleick 1994,
-720,-705,720-705 BC,,Western Asia,Assyria,40,45,Casualty,Assyrian king destroys Armenian irrigation network,"After a successful campaign against the Halidians of Armenia, Sargon II of Assyria destroys their intricate irrigation network and floods their land.",Hatami and Gleick 1994,
-705,-682,705-682 BC,,Western Asia,Babylon,32.5389,44.4186,Weapon,Sennacherib razes Babylon,"In quelling rebellious Assyrians in 695 B.C., Sennacherib razes Babylon and diverts one of the principal irrigation canals so that its waters wash over the ruins.",Hatami and Gleick 1994,
-699,-681,681-699 BC,,Western Asia,Assyria,33.2697,35.2125,Weapon,Assyrian king cuts off water of enemy,"Esarhaddon, an Assyrian, refers to an earlier period when gods, angered by insolent mortals, created destructive floods. According to inscriptions recorded during his reign, Esarhaddon besieges Tyre, cutting off food and water.",Hatami and Gleick 1994,
-669,-626,669-626 BC,,Western Asia,Assyria,29.9,52.4,Weapon,Assyrian king dries up enemy's wells,"Ashurbanipal's inscriptions also refer to a siege against Tyre, although scholars attribute it to Esarhaddon. In campaigns against both Arabia and Elam in 645 B.C., Ashurbanipal, son of Esarhaddon, dries up wells to deprive Elamite troops. He also guards wells from Arabian fugitives in an earlier Arabian war. On his return from victorious battle against Elam, Ashurbanipal floods the city of Sapibel, and ally of Elam. According to inscriptions, he dams the Ulai River with the bodies of dead Elamite soldiers and deprives dead Elamite kings of their food and water offerings.",Hatami and Gleick 1994,
-612,-612,612 BC,,Western Asia,Assyria,36.3667,43.15,Weapon,Khosr River diverted by Babylonians,"A coalition of Egyptian, Median (Persian), and Babylonian forces attacks and destroys Nineveh, the capital of Assyria. Nebuchadnezzar's father, Nabopolassar, leads the Babylonians. The converging armies divert the Khosr River to create a flood, which allows them to elevate their siege engines on rafts.",Hatami and Gleick 1994,
-558,-528,558-528 BC,,Western Asia,Babylon,34,45,Weapon,Cyrus diverts the Diyalah River,"On his way from Sardis to defeat Nabonidus at Babylon, Cyrus faces a powerful tributary of the Tigris, probably the Diyalah. According to Herodotus' account, the river drowns his royal white horse and presents a formidable obstacle to his march. Cyrus, angered by the ""insolence"" of the river, halts his army and orders them to cut 360 canals to divert the river's flow. Other historians argue that Cyrus needed the water to maintain his troops on their southward journey, while another asserts that the construction was an attempt to win the confidence of the locals.",Hatami and Gleick 1994,
-539,-539,539 BC,,Western Asia,Babylon,32.5389,44.4186,Weapon,Cyrus diverts the Euphrates,"According to Herodotus, Cyrus invades Babylon by diverting the Euphrates above the city and marching troops along the dry riverbed. This popular account describes a midnight attack that coincided with a Babylonian feast.",Hatami and Gleick 1994,
-355,-323,355-323 BC,,Western Asia,Babylon,32.5364,44.4208,Casualty,Alexander tears down Persian dams,"Returning from the razing of Persepolis, Alexander proceeds to India. After the Indian campaigns, he heads back to Babylon via the Persian Gulf and the Tigris, where he tears down defensive weirs that the Persians had constructed along the river. The Greek historian Arrian describes Alexander's disdain for the Persians' attempt to block navigation, which he saw as ""unbecoming to men who are victorious in battle.""",Hatami and Gleick 1994,
-605,-562,605-562 BC,,Western Asia,Babylon,32.5364,44.4208,Weapon,Nebuchadnezzar uses Euphrates River as defense,"Nebuchadnezzar builds immense walls around Babylon, using the Euphrates and canals as defensive moats surrounding the inner castle.",Hatami and Gleick 1994; Drower 1954,
2019,2019,2019,3/31/2019,Latin America and the Caribbean,Venezuela,10.480664,-66.903649°,Trigger,Two people shot while protesting water and electricity shortages in Caracas,Two people are shot by police and paramilitary groups responding to the protests of citizens who have been without electricity or water for several weeks as a result of ongoing political fighting at that national level in Venezuela. ,Hernandez and Zuniga 2019,
1642,1642,1642,,Eastern Asia,China,34.8834,113.798,Weapon,China floods rebel peasants,"The Huang He's dikes are breached for military purposes. In 1642, ""toward the end of the Ming dynasty (1368-1644), General Gao Mingheng used the tactic near Kaifeng, China in an attempt to suppress a peasant uprising.""",Hillel 1991,
1938,1938,1938,,Eastern Asia,"China, Japan",34.9135,114.192,"Weapon, Casualty",China floods Yellow River to defend from Japan,"Chiang Kai-shek orders the destruction of flood-control dikes of the Huayuankou, Henan section of the Huang He (Yellow) River, in order to flood areas threatened by the Japanese army. West of Kaifeng, dikes are destroyed with dynamite, spilling water across the flat plain. Even though the flood destroys part of the invading army and mires its equipment in mud, Wuhan, the headquarters of the Nationalist government is taken by the Japanese in October. Floodwaters cover an area variously estimated as between 3,000 and 50,000 square kilometers, and kill Chinese estimated in numbers between ""tens of thousands"" and ""one million.""",Hillel 1991; Lang 1994,
2002,2002,2002,,Southern Asia,India,12.4161,77.65,Trigger,Violence over Cauvery River in India,"Continuing violence over the allocation of the Kaveri River between Karnataka and Tamil Nadu. Riots, property destruction, more than 30 injuries, arrests through September and October.","Hindu, The 2002a; Hindu, The 2002b; PTI 2002",
2010,2010,2010,,Southern Asia,India,18.3,83.9,Trigger,Protestors killed and injured in,"At least three deaths and dozens of injuries are reported during protests over land and water given away for a power plant in Sompeta in Srikakulam district in Andhra Pradesh, India.","Hindu, The 2011",
-101,-101,101 BC,,Eastern Asia,"China, Japan",35.8617,104.195,Weapon,Water is used as a weapon in 101 BC China,"Fergana (Yuan), the capital of China, surrenders after the enemy cuts off the city's water supplies. ""In the city of the king of Yuan there were no wells, and the people had to obtain water from a river outside the city, whereupon experts in hydraulics were sent to divert the course of the river, thus depriving the city of water, besides effecting an opening though which the city might be laid open to access. General Ir-shi wished to attack Yu-chong but was afraid his detention might allow Yuan to resort to additional stratagems. He therefore went direct to Yuan, cut off the source of its water supply by diverting the course of the river upon which it depended, and the city was in great straits.""  ",Hirth 1917,
-51,-51,51 BC,,Southern Europe,Roman Empire,44.95,1.68,Weapon,Caesar attacks water supplies during siege of Uxellodunum,Caesar attacks water supplies during siege of Uxellodunum by undermining one of the local springs and placing attackers near the other. Shortage of water leads to the surrender of the Gauls.,History of War Online n.d.,
1862,1862,1862,,North America,United States,37.1973,-76.5672,Weapon,US Civil War Confederates use dams to cut off Union troops,"During the US Civil War, Confederate forces near Yorktown use dams to flood the Warwick River and cut off Union troops. ""The enemy is pushed behind a branch of the Warwick River in which they control the depths of water by dams. McClellan did not intend to pass that stream at that time, or at that point where the skirmish took place. But the troops, finding the stream fordable went over (under whose immediate orders does not appear) and the water was then deepened so that they were measurably cut off.""",Hitchcock 1862,
2014,2014,2014,,North America,United States,29.3847,-95.1452,Trigger,"In Texas, family feud over water well erupts in violence",A dispute over a water well leads to a violent assault with a sword and gun. Two men are arrested.,Hlavaty 2014,
1802,1802,1802,,Latin America and the Caribbean,"Saint-Domingue, Hispaniola",18.4901,-69.9381,Casualty,Wells polluted in Saint-Domingue,"A leader of the slave rebellion on the island of Hispaniola in the Caribbean, Toussaint L'Oueverture, says ""The only resources we have are destruction and fire. Annihilate everything and burn everything. Block the roads, pollute the wells with corpses and dead horses."" ",Hochschild 2006,
1997,1997,1997,,Central Asia,"Uzbekistan, Kazakhstan",40.9186,67.6919,Weapon,Uzbekistan cuts downstream flow to Kazakhstan,"Uzbekistan raises regional tensions by cutting off 70 percent of flow downstream, threatening 100,000 hectares and prompting a riot by Kazakh farmers.",Hogan 2000a,
2001,2001,2001,,Central Asia,"Kyrgyzstan, Uzbekistan",43.48,64.9026,Trigger,Kyrgyzstan charges downstream countries for water,"In June 2001, the Kyrgyz parliament adopts a law classifying water as a commodity and announces that downstream countries would be charged for water. In response, Uzbekistan cuts off all deliveries of natural gas to Kyrgyzstan and accuses Kyrgyzstan of failing to honor an agreement to provide Uzbekistan with water in return for oil and gas.",Hogan 2000a; Khamidov 2001,
1999,1999,1999,,Central Asia,"Tajikistan, Kazakhstan, Kyrgyzstan",40.294,70.0783,Weapon,Tajikistan releases water from Kairakum reservoir,"In summer 1999, Tajikistan releases 700 million cubic meters of water from the Kairakum reservoir without warning its downstream neighbors. Among other effects, this cuts water to cotton crops in southern Kazakhstan, causing significant losses to farmers. At the same time, Kyrgyzstan cuts flows to southern Kazakhstan in retaliation for Kazakhstan's failure to supply coal under barter agreements.",Hogan 2000b,
1503,1503,1503,,Southern Europe,Republic of Florence,43.7842,11.2094,Weapon,Florence plan to cut Pisa's water,Leonardo da Vinci and Machiavelli plan to divert Arno River away from Pisa during conflict between Pisa and Florence (Italy).,Honan 1996,
2013,2013,2013,,Eastern Asia,China,37.2721,79.9206,"Trigger, Casualty",Chinese dam builders killed after attack by Uyghurs,"Hundreds of Uyghurs are arrested following an attack on May 20th that led to the death of seven Han Chinese workers building a dam on the Karakash River in Hotan (in Chinese, Hetian) prefecture's Karakash (Moyu) county, China. Local officials ascribe the violence to land and water disputes and cultural differences between Han immigrants [to Xinjiang] and Uyghurs.",Hoshur 2013,
2016,2017,2016-2017,,Western Asia,Syria,33.6256,36.1077,Casualty,"From late 2016 through early 2017, the water supply in Damascus, Syria is periodically cut when springs outside city are attacke","Up to four million people in Damascus suffer a loss of water services after springs outside the city are attacked. Water from the Wadi Barada and Ain al-Fija springs, which serve 70 percent of the Syrian capital, is cut off when water infrastructure is deliberately targeted.",Hubbard 2017,
1978,1984,1978-1984,12/1/1979,Sub-Saharan Africa,Ethiopia,5.20664,44.068281,"Weapon, Casualty","While battling insurgents, the Ethiopian military destroys basic civilian water wells and water sources","During the so-called ""Secret Wars"" in southeast Ethiopia, water wells are destroyed and poisoned by Ethiopian troops in an attempt to halt insurgents. The Ethiopian military is thought to have been advised in applying these tactics by Soviet and Cuban officials.  ",Human Rights Watch 2008,
2007,2007,2007,June-August 2007,Sub-Saharan Africa,Ethiopia,8.02071,39.009284,Casualty,A forced displacement campaign by the Ethiopian military includes destruction of water wells and other sources,"During a violent, forced displacement effort by the Ethiopian military, water wells and other water supply sources are destroyed. The Ethiopian military is seeking to move people out of the country side and into larger towns and cities in order to continue their counterinsurgency fight against the Ogaden National Liberation Front. Numerous sources report executions of those who refuse to cooperate.",Human Rights Watch 2008,
2007,2007,2007,7/1/2007,Sub-Saharan Africa,Ethiopia,6.094224,44.766215,Weapon,Soldiers threaten to throw woman into a well and drown her if she does not comply,"A 20-year-old woman reports that prior to being beat by military forces, she was threatened with drowning in a well if she does not comply. This report is associated with reports soldiers guarding water holes and of other human rights abuses by the Ethiopian military from their campaign to defeat the Ogaden National Liberation Front.",Human Rights Watch 2008,
2013,2013,2013,,Northern Africa,Libya,32.8104,13.1517,Weapon,Militias cut off water supplies to Tripoli,Militias cut off water supplies to Tripoli for several days in continuing unrest in the country.,Hurriyet Daily News 2013,
2018,2018,2018,,Southern Asia,Afghanistan,32.4465,62.1454,Trigger,"Alleged support of Taliban by Iran, in part to disrupt water projects in Afghanistan","Attacks to the city of Farah in the western region of Afghanistan in early 2018 by the Taliban may, in part, be supported by Iran in an attempt to reduce Afghanistan's ability to pursue water dam infrastructure projects. Experts disagree to the amount of support given to Taliban militants by Iran, but water projects in Afghanistan's western region are indisputably a point of contention between the two nations.","Hussein and Jedinia 2018; Jerusalem Post, The 2018",
2015,2015,2015,,Western Asia,Iraq,33.2232,43.6793,Casualty,Islamic State attacks Iraqi security forces around Euphrates River dam,"The Islamic State attacks Iraqi security forces and affiliated militiamen stationed around Adhaim dam on the Al Uzym River, north of Baghdad. Accounts differ as to the total number of deaths, however both sides suffer losses of life and numerous fighters are injured. ",IANS 2015; National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201501280049,
2017,2017,2017,,Sub-Saharan Africa,Somalia,3.11405,43.6519,Weapon,"Water well is poisoned in Somalia, killing more than 30 people","Thirty-two people are reported killed and many others sickened from a poisoned water well in Masuubiye, Baidoa, Somalia. It is suspected that the well was poisoned by al Shabaab, a militant group affiliated with Al-Qaeda, in an attempt to prevent government soldiers from drinking the water.",Ikeji 2017,
-49,-49,49 BC,,Western Europe,Roman Empire,43.2964,5.36995,Weapon,Marseille uses water to defend against Roman siege,"During the first year of the Great Roman Civil War, Julius Caesar's troops lay siege to the walled city of Massilia (modern-day Marseille, France) using siege towers, battering rams, and by digging ""mines"" or tunnels to undermine the city walls. Massilians defend their city with ""dogged determination;"" tactics included directing water through pipes to wash down on attackers, which the Romans counter by covering siege buildings with bricks and ""several coatings of stucco."" Defenders also excavate a large basin inside the walls, filling it with water. As the Roman miners reach the walls, the tunnels are flooded with water and collapse. Massilia ultimately surrenders after a five-month siege.",Illustrated History of the Roman Empire n.d.; Caesar 1906,
2014,2014,2014,,Eastern Europe,"Georgia, Russia",42.9785,43.1068,Casualty,"Civilians suffer violence, intentional water cuts along Georgia-Russia border","Despite continuing talks between Georgia and Russia following a 2008 war over South Ossetia and Abkhazia, violence continues in the region. Georgia says civilians along the line suffer violence and kidnappings, that school children are detained regularly by Russian troops, and that water and gas supplies are regularly cut off.",Independent Online 2014,
2004,2004,2004,,Southern Asia,India,29.1929,73.2093,Trigger,Police kill water protestors in India,"Four people are killed in October and more than 30 injured in November in ongoing protests by farmers over allocations of water from the Indira Ghandi Irrigation Canal in Sri Ganganagar district, which borders Pakistan. Authorities impose curfews on the towns of Gharsana, Raola and Anoopgarh.",Indo-Asian News Service 2004,
2019,2019,2019,6/3/2019,Southern Asia,India,24.864886,79.018956,Trigger,A grandmother and her grandson are beaten when seeking water from a private well,"A grandmother and her grandson in a small village in India insist on being allowed to use a private well to get water. The well owner refuses and sends men to beat the grandmother and grandson with sticks, injuring them both. The owner is concerned that his well cannot provide water to the entire village and therefore, he does not want to provide water to anyone.",Indo-Asian News Service 2019,
1939,1940,1939-1940,,Western Europe,The Netherlands,52.1333,5.45583,Weapon,Dutch flood valley to defend from Germany,"During the mobilization of the Dutch at the beginning of World War II, 1939-40, the Dutch attempt to flood the Gelderse Vallei with the New Dutch Water Defence Line, which had been completed in 1885. During the German invasion in May 1940, large areas are inundated.",Information and Documentation Center for the Geography of the Netherlands (IDG) 1996,
1998,2000,1998-2000,,Sub-Saharan Africa,"Eritrea, Ethiopia",14.6333,38.8333,Casualty,Water plants destroyed in Ethiopia-Eritrea war,Water pumping plants and pipelines in the border town of Adi Kuala are destroyed during the civil war between Eritrea and Ethiopia.,International Committee of the Red Cross (ICRC) 2003,
1998,1998,1998,,Sub-Saharan Africa,"Eritrea, Ethiopia",14.4432,38.5043,Casualty,War between Eritrea and Ethiopia includes destruction of water systems,"During the war with Ethiopia in 1998, many water supply systems in the mountainous region of Debub and Gash Barka in Eritrea are destroyed.",International Committee of the Red Cross (ICRC) 2009,
2003,2003,2003,,Western Asia,Iraq,33.3899,44.4607,Casualty,Iraqi water treatment plant damaged,"The Abu Nawas pumping station on the Tigris River, which supplies water to Sadr City and other treatment plants in Baghdad, is severely damaged during the 2003 conflict.",International Committee of the Red Cross (ICRC) 2009,
2019,2019,2019,April-June 2019,Northern Africa,Libya,32.887209,13.191338,Casualty,Shelling and airstrikes destroy water supply systems in Tripoli during ongoing war in Libya,"Heavy shelling and airstrikes between April and June of 2019 destroy water infrastructure in Tripoli, Libya.",International Committee of the Red Cross (ICRC) 2019,
1999,2000,1999-2000,,Sub-Saharan Africa,"Namibia, Botswana, Zambia",-17.78,25.216,Trigger,African nations fight over Zambezi island,"Namibia and Botswana engage in a territorial dispute over Sedudu Island, or Kasikili Island, in the Zambezi River, or Chobe River, related to the location of the border and access to water. The International Court of Justice rules in favor of Botswana in 1999.",International Court of Justice 1999,
1999,1999,1999,,Sub-Saharan Africa,Angola,-11.8405,17.3172,Casualty,100 bodies found in Angolan wells,One hundred bodies are found in four drinking water wells in central Angola.,International Herald Tribune 1999,
